Time,HR (bpm),windows
0:00:00,109,window1
0:00:01,106,window1
0:00:02,104,window1
0:00:03,102,window2
0:00:04,97,window2
0:00:05,94,window2
0:00:06,91,window3
0:00:07,90,window3
0:00:08,90,window3
0:00:09,91,window4
0:00:10,93,window4
0:00:11,97,window4
0:00:12,97,window5
0:00:13,103,window5
0:00:14,106,window5
0:00:15,108,window6
0:00:16,109,window6
0:00:17,110,window6
0:00:18,111,window7
0:00:19,112,window7
0:00:20,112,window7
0:00:21,115,window8
0:00:22,117,window8
0:00:23,117,window8
0:00:24,117,window9
0:00:25,118,window9
0:00:26,118,window9
0:00:27,118,window10
0:00:28,118,window10
0:00:29,118,window10
0:00:30,118,window11
0:00:31,119,window11
0:00:32,120,window11
0:00:33,120,window12
0:00:34,120,window12
0:00:35,120,window12
0:00:36,119,window13
0:00:37,118,window13
0:00:38,118,window13
0:00:39,119,window14
0:00:40,120,window14
0:00:41,120,window14
0:00:42,121,window15
0:00:43,122,window15
0:00:44,121,window15
0:00:45,119,window16
0:00:46,119,window16
0:00:47,120,window16
0:00:48,122,window17
0:00:49,122,window17
0:00:50,123,window17
0:00:51,125,window18
0:00:52,123,window18
0:00:53,121,window18
0:00:54,120,window19
0:00:55,119,window19
0:00:56,117,window19
0:00:57,115,window20
0:00:58,113,window20
0:00:59,112,window20
0:01:00,113,window21
0:01:01,114,window21
0:01:02,117,window21
0:01:03,118,window22
0:01:04,119,window22
0:01:05,118,window22
0:01:06,115,window23
0:01:07,113,window23
0:01:08,113,window23
0:01:09,111,window24
0:01:10,108,window24
0:01:11,106,window24
0:01:12,104,window25
0:01:13,103,window25
0:01:14,103,window25
0:01:15,103,window26
0:01:16,102,window26
0:01:17,102,window26
0:01:18,101,window27
0:01:19,101,window27
0:01:20,100,window27
0:01:21,100,window28
0:01:22,101,window28
0:01:23,101,window28
0:01:24,103,window29
0:01:25,104,window29
0:01:26,106,window29
0:01:27,104,window30
0:01:28,104,window30
0:01:29,104,window30
0:01:30,105,window31
0:01:31,104,window31
0:01:32,103,window31
0:01:33,103,window32
0:01:34,104,window32
0:01:35,104,window32
0:01:36,104,window33
0:01:37,104,window33
0:01:38,103,window33
0:01:39,104,window34
0:01:40,105,window34
0:01:41,107,window34
0:01:42,108,window35
0:01:43,109,window35
0:01:44,108,window35
0:01:45,106,window36
0:01:46,104,window36
0:01:47,104,window36
0:01:48,103,window37
0:01:49,103,window37
0:01:50,104,window37
0:01:51,105,window38
0:01:52,108,window38
0:01:53,110,window38
0:01:54,113,window39
0:01:55,116,window39
0:01:56,115,window39
0:01:57,111,window40
0:01:58,111,window40
0:01:59,108,window40
0:02:00,109,window41
0:02:01,109,window41
0:02:02,107,window41
0:02:03,108,window42
0:02:04,110,window42
0:02:05,110,window42
0:02:06,115,window43
0:02:07,118,window43
0:02:08,121,window43
0:02:09,123,window44
0:02:10,125,window44
0:02:11,127,window44
0:02:12,129,window45
0:02:13,132,window45
0:02:14,134,window45
0:02:15,137,window46
0:02:16,139,window46
0:02:17,140,window46
0:02:18,142,window47
0:02:19,143,window47
0:02:20,145,window47
0:02:21,146,window48
0:02:22,148,window48
0:02:23,149,window48
0:02:24,151,window49
0:02:25,153,window49
0:02:26,154,window49
0:02:27,155,window50
0:02:28,156,window50
0:02:29,158,window50
0:02:30,159,window51
0:02:31,160,window51
0:02:32,161,window51
0:02:33,161,window52
0:02:34,162,window52
0:02:35,163,window52
0:02:36,164,window53
0:02:37,164,window53
0:02:38,164,window53
0:02:39,165,window54
0:02:40,165,window54
0:02:41,165,window54
0:02:42,166,window55
0:02:43,166,window55
0:02:44,166,window55
0:02:45,167,window56
0:02:46,167,window56
0:02:47,168,window56
0:02:48,168,window57
0:02:49,168,window57
0:02:50,169,window57
0:02:51,169,window58
0:02:52,169,window58
0:02:53,169,window58
0:02:54,169,window59
0:02:55,169,window59
0:02:56,169,window59
0:02:57,170,window60
0:02:58,170,window60
0:02:59,170,window60
0:03:00,170,window61
0:03:01,171,window61
0:03:02,171,window61
0:03:03,171,window62
0:03:04,171,window62
0:03:05,171,window62
0:03:06,171,window63
0:03:07,171,window63
0:03:08,171,window63
0:03:09,171,window64
0:03:10,171,window64
0:03:11,171,window64
0:03:12,171,window65
0:03:13,171,window65
0:03:14,171,window65
0:03:15,171,window66
0:03:16,170,window66
0:03:17,169,window66
0:03:18,169,window67
0:03:19,168,window67
0:03:20,167,window67
0:03:21,167,window68
0:03:22,167,window68
0:03:23,167,window68
0:03:24,167,window69
0:03:25,167,window69
0:03:26,167,window69
0:03:27,167,window70
0:03:28,167,window70
0:03:29,166,window70
0:03:30,165,window71
0:03:31,164,window71
0:03:32,163,window71
0:03:33,162,window72
0:03:34,162,window72
0:03:35,162,window72
0:03:36,162,window73
0:03:37,162,window73
0:03:38,162,window73
0:03:39,161,window74
0:03:40,161,window74
0:03:41,160,window74
0:03:42,159,window75
0:03:43,159,window75
0:03:44,159,window75
0:03:45,159,window76
0:03:46,159,window76
0:03:47,159,window76
0:03:48,160,window77
0:03:49,160,window77
0:03:50,160,window77
0:03:51,160,window78
0:03:52,160,window78
0:03:53,159,window78
0:03:54,159,window79
0:03:55,159,window79
0:03:56,158,window79
0:03:57,158,window80
0:03:58,157,window80
0:03:59,157,window80
0:04:00,157,window81
0:04:01,157,window81
0:04:02,157,window81
0:04:03,157,window82
0:04:04,157,window82
0:04:05,157,window82
0:04:06,156,window83
0:04:07,156,window83
0:04:08,155,window83
0:04:09,155,window84
0:04:10,155,window84
0:04:11,156,window84
0:04:12,155,window85
0:04:13,155,window85
0:04:14,154,window85
0:04:15,153,window86
0:04:16,153,window86
0:04:17,153,window86
0:04:18,153,window87
0:04:19,154,window87
0:04:20,153,window87
0:04:21,153,window88
0:04:22,152,window88
0:04:23,151,window88
0:04:24,151,window89
0:04:25,150,window89
0:04:26,150,window89
0:04:27,150,window90
0:04:28,149,window90
0:04:29,150,window90
0:04:30,150,window91
0:04:31,151,window91
0:04:32,152,window91
0:04:33,153,window92
0:04:34,153,window92
0:04:35,155,window92
0:04:36,155,window93
0:04:37,156,window93
0:04:38,157,window93
0:04:39,158,window94
0:04:40,158,window94
0:04:41,158,window94
0:04:42,158,window95
0:04:43,160,window95
0:04:44,161,window95
0:04:45,161,window96
0:04:46,162,window96
0:04:47,163,window96
0:04:48,164,window97
0:04:49,164,window97
0:04:50,165,window97
0:04:51,166,window98
0:04:52,166,window98
0:04:53,167,window98
0:04:54,168,window99
0:04:55,169,window99
0:04:56,170,window99
0:04:57,170,window100
0:04:58,171,window100
0:04:59,172,window100
0:05:00,173,window101
0:05:01,173,window101
0:05:02,174,window101
0:05:03,175,window102
0:05:04,175,window102
0:05:05,176,window102
0:05:06,176,window103
0:05:07,176,window103
0:05:08,177,window103
0:05:09,177,window104
0:05:10,177,window104
0:05:11,178,window104
0:05:12,178,window105
0:05:13,179,window105
0:05:14,179,window105
0:05:15,179,window106
0:05:16,179,window106
0:05:17,178,window106
0:05:18,178,window107
0:05:19,179,window107
0:05:20,179,window107
0:05:21,179,window108
0:05:22,179,window108
0:05:23,179,window108
0:05:24,179,window109
0:05:25,179,window109
0:05:26,179,window109
0:05:27,179,window110
0:05:28,179,window110
0:05:29,179,window110
0:05:30,179,window111
0:05:31,179,window111
0:05:32,179,window111
0:05:33,179,window112
0:05:34,179,window112
0:05:35,179,window112
0:05:36,179,window113
0:05:37,178,window113
0:05:38,178,window113
0:05:39,178,window114
0:05:40,178,window114
0:05:41,178,window114
0:05:42,178,window115
0:05:43,178,window115
0:05:44,178,window115
0:05:45,177,window116
0:05:46,177,window116
0:05:47,176,window116
0:05:48,176,window117
0:05:49,176,window117
0:05:50,176,window117
0:05:51,175,window118
0:05:52,174,window118
0:05:53,173,window118
0:05:54,173,window119
0:05:55,173,window119
0:05:56,172,window119
0:05:57,171,window120
0:05:58,171,window120
0:05:59,171,window120
0:06:00,171,window121
0:06:01,171,window121
0:06:02,170,window121
0:06:03,169,window122
0:06:04,169,window122
0:06:05,168,window122
0:06:06,168,window123
0:06:07,167,window123
0:06:08,166,window123
0:06:09,165,window124
0:06:10,165,window124
0:06:11,164,window124
0:06:12,163,window125
0:06:13,163,window125
0:06:14,162,window125
0:06:15,162,window126
0:06:16,162,window126
0:06:17,162,window126
0:06:18,162,window127
0:06:19,162,window127
0:06:20,160,window127
0:06:21,159,window128
0:06:22,159,window128
0:06:23,159,window128
0:06:24,159,window129
0:06:25,159,window129
0:06:26,159,window129
0:06:27,158,window130
0:06:28,158,window130
0:06:29,157,window130
0:06:30,156,window131
0:06:31,156,window131
0:06:32,155,window131
0:06:33,154,window132
0:06:34,154,window132
0:06:35,154,window132
0:06:36,155,window133
0:06:37,155,window133
0:06:38,154,window133
0:06:39,154,window134
0:06:40,153,window134
0:06:41,152,window134
0:06:42,152,window135
0:06:43,152,window135
0:06:44,152,window135
0:06:45,152,window136
0:06:46,152,window136
0:06:47,152,window136
0:06:48,152,window137
0:06:49,151,window137
0:06:50,151,window137
0:06:51,150,window138
0:06:52,149,window138
0:06:53,150,window138
0:06:54,150,window139
0:06:55,150,window139
0:06:56,150,window139
0:06:57,151,window140
0:06:58,151,window140
0:06:59,151,window140
0:07:00,151,window141
0:07:01,152,window141
0:07:02,152,window141
0:07:03,152,window142
0:07:04,152,window142
0:07:05,153,window142
0:07:06,153,window143
0:07:07,153,window143
0:07:08,153,window143
0:07:09,153,window144
0:07:10,153,window144
0:07:11,153,window144
0:07:12,152,window145
0:07:13,151,window145
0:07:14,151,window145
0:07:15,151,window146
0:07:16,151,window146
0:07:17,151,window146
0:07:18,151,window147
0:07:19,152,window147
0:07:20,153,window147
0:07:21,153,window148
0:07:22,154,window148
0:07:23,155,window148
0:07:24,156,window149
0:07:25,157,window149
0:07:26,158,window149
0:07:27,159,window150
0:07:28,161,window150
0:07:29,161,window150
0:07:30,163,window151
0:07:31,163,window151
0:07:32,165,window151
0:07:33,166,window152
0:07:34,167,window152
0:07:35,167,window152
0:07:36,168,window153
0:07:37,169,window153
0:07:38,170,window153
0:07:39,170,window154
0:07:40,171,window154
0:07:41,172,window154
0:07:42,172,window155
0:07:43,172,window155
0:07:44,173,window155
0:07:45,173,window156
0:07:46,173,window156
0:07:47,173,window156
0:07:48,174,window157
0:07:49,174,window157
0:07:50,174,window157
0:07:51,174,window158
0:07:52,174,window158
0:07:53,175,window158
